commercial;contact;entreprise;nom_projet;localisation;ville;region;pays;email;telephone;type_client;type_projet;produits;statut;potentiel;canal_origine;flux_type;budget_mad;probabilite;commentaire;date_closing_est;prochaine_relance
Amine;DINO;DINO;CHP TAOURIRT;Taourirt;Taourirt;Oriental;Maroc;;;;Institutional;;CHIFFRAGE;MOYEN;;;35000000;MED;PREMIER OFFRE ENVOYER LE JEUDI DERNIER , ATTEND RETOUR CLIENT ET DECLANCHER UNE REUNION DE PRESENTATION OFFRE ET NEGOCIATION;18/06/2026;
Amine;HOME EST;HOME EST;RÉSIDENCES FARAH SALAM LA ROCADE;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Residential;;VISITE;FAIBLE;;;4000000;LOW;UNE TRANCHR DÉJÀ ATTRIBUE A LA CONCURRENCE , UNE VISITE SEMAINE PROCHAINE POUR VOIR LE CLIENT POUR LES TRANCHE QUI RESTE;30/06/2026;
Amine;URBAT;URBAT;SIDE PARK ZENATA;Zenata;Zenata;Casablanca-Settat;Maroc;;;;Residential;;VISITE;FAIBLE;;;2000000;LOW;CLIENT A DÉJÀ ATRIBUER LE MARCHE PLACARD ET CUISINE , RDV A CONFIRMER AVEC LE DG POUR PRESENTATION ET OFFRE DE PRIX (INGENIEUR PROJET);30/06/2026;
Amine;TOMU;TOMU;CHU AGADIR;Agadir;Agadir;Souss-Massa;Maroc;;;;Institutional;;CHIFFRAGE;FAIBLE;;;35000000;LOW;OFFRE INITIAL ENVOYER , UN RDV AVEC LE CLIENT A MONTER EN MAI APRES L OBTENTION DE L;18/07/2026;
Amine;TECHNISCAN;TECHNISCAN;ABRAJ AYMEN;Tanger;Tanger;Tanger-Tétouan-Al Hoceïma;Maroc;;;;Residential;;VISITE;FAIBLE;;;8000000;LOW;Reunion tenu avec le gerant sur notre showroom , client interessé par notre gamme porte placard et cuisine , consultartion chez le methode pour la partie residence , projet de 10 tranche avec un hotel de 5 étoil et un centre de loisir;17/08/2026;
Amine;LEGACY PARTNER;LEGACY PARTNER;TOURS HOTEL + RÉSIDENCE + BUREAUX CFC;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Hospitality;;VISITE;FAIBLE;;;6000000;LOW;REUNION TENU AVEC LE DT , LA CONSULTATION SERA ENVOYER LE LUNDI POUR LES TROIS BATIMENT;17/08/2026;
Amine;TANGER BAY;TANGER BAY;HOTEL HILTON BY CANOPY;Tanger;Tanger;Tanger-Tétouan-Al Hoceïma;Maroc;;;;Hospitality;;VISITE;FAIBLE;;;5000000;LOW;REUNION TENU AVEC LE MO MR NABIL ET ARCHITECT MR BAKHAT , PRESENTATION DE NOTRE REALISATION EN COURS AVEC YAMED , CLIENT FINALISE LE CCTP POUR LANCER LA CONSULTATION;17/08/2026;
Bruno;TGCC;TGCC;MALL TWF;TANGER;TANGER;Tanger-Tétouan-Al Hoceïma;Maroc;;;;Commercial;;GAGNEE;IMPORTANT;;;290000;HIGH;;30/09/2026;
Hassan;BATI GLORIOUS;BATI GLORIOUS;GROUPEMENT D HABITATION MS;Zenata;Zenata;Casablanca-Settat;Maroc;;;;Residential;;VISITE;FAIBLE;;;3000000;LOW;ils ont déjà un atelier menuiserie;19/08/2026;
Hassan;MELKNA X;MELKNA X;SUITES HOTEL R+5;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Hospitality;;VISITE;FAIBLE;;;3000000;LOW;Relance chef projet Mardi matin;19/08/2026;
Taoufik;UNITED Marrakech;UNITED Marrakech;MARRAKECH PDM;Marrakech;Marrakech;Marrakech-Safi;Maroc;;;;Residential;;CHIFFRAGE;MOYEN;;;3000000;MED;le temoin et déjà pose attend le BC;18/06/2026;
Amine;SAM GROUPE IMMOBILIER;SAM GROUPE IMMOBILIER;BEAULIEU ZENATA;Zenata;Zenata;Casablanca-Settat;Maroc;;;;Residential;;VISITE;FAIBLE;;;5000000;LOW;PRIS DE CONTACT SUR CHANTIER AVEC INGENIEUR DE PROJET PROJET EN DEMMARAGE PHASE FONDATION;17/08/2026;
Amine;OSE;OSE;TOURS HOTEL + RÉSIDENCE CFC;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Hospitality;;VISITE;FAIBLE;;;4000000;LOW;PROJET EN FONDATION AVEC ENTREPRISE DE GO OPTIMACO , CONTACT AVEC LE GERANT;17/08/2026;
Bruno;AEDGE;AEDGE;EVIAN;CASABLANCA;CASABLANCA;Casablanca-Settat;Maroc;;;;Residential;;CHIFFRAGE;MOYEN;;;2500000;MED;;30/04/2026;
Taoufik;BENZKERI;BENZKERI;TEMARA;Rabat;Rabat;Rabat-Salé-Kénitra;Maroc;;;;Residential;;VISITE;FAIBLE;;;2500000;LOW;CLIENT FINALISE LE CCTP POUR LANCER LA CONSULTATION;18/06/2026;
Bruno;CGI;CGI;VILLAS TAGHAZOUT BAY P25.2;AGADIR;AGADIR;Souss-Massa;Maroc;;;;Residential;;PERDUE;MOYEN;;;2409440;LOW;;01/04/2026;
Taoufik;GROUPE HAJI SAKANE;GROUPE HAJI SAKANE;TEMARA;Rabat;Rabat;Rabat-Salé-Kénitra;Maroc;;;;Residential;;VISITE;MOYEN;;;2400000;MED;CLIENT FINALISE LE CCTP POUR LANCER LA CONSULTATION;18/06/2026;
Taoufik;AMC MARBRE;AMC MARBRE;CASA LA ROCAD;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Residential;;GAGNEE;IMPORTANT;;;2200000;HIGH;;04/05/2026;
Bruno;TGCC;TGCC;RESIDENCE FERMEE EN VILLAS BENGUERIR LOT CUIS;BEN GUERIR;BEN GUERIR;Marrakech-Safi;Maroc;;;;Residential;;VISITE;MOYEN;;;2170000;MED;;30/07/2026;
Amine;ANMG;ANMG;HOTEL ABRAJ 5* TANGER;Tanger;Tanger;Tanger-Tétouan-Al Hoceïma;Maroc;;;;Hospitality;;VISITE;FAIBLE;;;3000000;LOW;Deuxiéme reunion tenu avec le directeur tehnique Mr Yassine en presence le Gerant , projet en GO les lots sencondes les appels d'offre dans deux mois;17/08/2026;
Amine;AFIFA IMMONILIER;AFIFA IMMONILIER;ODESSY MARINE;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Residential;;VISITE;FAIBLE;;;3000000;LOW;PRIS DE CONTACT AVEC LE GERANT , CONSULTATION LOT MENUISERI DANS 2 MOIS;17/08/2026;
Amine;ADDOHA;ADDOHA;PRESTIGIA PLAGE NATION;Bouknadel;Bouknadel;Rabat-Salé-Kénitra;Maroc;;;;Residential;;VISITE;FAIBLE;;;3000000;LOW;PREMIER TRANCHE ATTRIBUER A OPTIMACO , PREMIER CONTACT AVEC MR ABDELMOULA LE GERANT POUR CONFIRMER UNE REUNION SEMAINE PROCHAINE;17/08/2026;
Amine;URBAT;URBAT;ALMA;Tanger;Tanger;Tanger-Tétouan-Al Hoceïma;Maroc;;;;Residential;;VISITE;FAIBLE;;;2000000;LOW;PROJET EN GROS UVRE AVEC TG BAT , PREMIER REUNION TENU AVEC Mr Ksikes directeur projet MO , presentation de notre gamme dans l'attente de la consultation;17/08/2026;
Amine;AHFAD IMMOBILIER;AHFAD IMMOBILIER;AHFAD CITY;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Residential;;VISITE;FAIBLE;;;1500000;LOW;REUNION TENU AVEC MME HASSANIA AHFAD FILLE DE PATRON ET RESPONSABLE ACHAT ET SOUS TRAITANT , OFFRE EN COURS , PROEJT EN GO;17/08/2026;
Amine;IDEOLOGE PROMOTION;IDEOLOGE PROMOTION;CASERNE BOUKRAA;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Institutional;;VISITE;FAIBLE;;;900000;LOW;OFFRE DE PRIX ENVOYER , CLIENT ATTEND LA RESULTAT DE L'APPEL D'OFFRE;17/08/2026;
Bruno;TGCC;TGCC;STADE H2;RABAT;RABAT;Rabat-Salé-Kénitra;Maroc;;;;Commercial;;VISITE;FAIBLE;;;2000000;LOW;;01/09/2026;
Hassan;HOME EST;HOME EST;GROUPEMENT D HABITATION ECONOMIQUE;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Residential;;VISITE;FAIBLE;;;2000000;LOW;RDV prévu avec le service achat la semaine prochaine (Naima);19/08/2026;
Hassan;SOCIETE RESIDENCES BOLORIA;SOCIETE RESIDENCES BOLORIA;GROUPEMENT D HABITATION ECONOMIQUE (hadaik al amane);Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Residential;;VISITE;FAIBLE;;;2000000;LOW;RDV prévu avec le chef projet la semaine prochaine;19/08/2026;
Hassan;SIREGEC;SIREGEC;COMPLEXE UNIVERSITAIRE SUPTECH;Mohammedia;Mohammedia;Casablanca-Settat;Maroc;;;;Institutional;;VISITE;FAIBLE;;;2000000;LOW;Potentiel à renseigner;19/08/2026;
Oussama;ADDOHA ABIDJA;ADDOHA ABIDJA;ANGRE SQUARE;Abidjan;Abidjan;;Côte d'Ivoire;;;;Residential;;OFFRE;IMPORTANT;;;2000000;HIGH;;30/05/2026;
Bruno;AGADIR BAY;AGADIR BAY;RESIDENTIEL Q 67;AGADIR;AGADIR;Souss-Massa;Maroc;;;;Residential;;CHIFFRAGE;IMPORTANT;;;1967000;HIGH;;30/04/2026;
