commercial;contact;entreprise;nom_projet;localisation;ville;region;pays;email;telephone;type_client;type_projet;produits;statut;potentiel;canal_origine;flux_type;budget_mad;probabilite;commentaire;date_closing_est;prochaine_relance
Oussama;ADDOHA ABIDJA;ADDOHA ABIDJA;GREEN CITY GH 25;Abidjan;Abidjan;;Côte d'Ivoire;;;;Residential;;VISITE;MOYEN;;;600000;MED;;30/07/2026;
Bruno;GROUPE AHOCIENIA;GROUPE AHOCIENIA;VILLA SALAM;SENEGAL;SENEGAL;;Sénégal;;;;Residential;;CHIFFRAGE;IMPORTANT;;;584122;HIGH;;30/04/2026;
Amine;IHCC;IHCC;HOPITAL SAUDI ALMANI;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Institutional;;VISITE;FAIBLE;;;2000000;LOW;MARCHE DÉJÀ ATTRIBUER , LE CLIENT VA ORIENTE LES POSEUR CHEZ NOUS ,TRANCHE HOTEL ET UNIVERSITE SERA LANCER DANS 4 MOIS(CONTACT RESPONSABEL ACHAT);30/10/2026;
Oussama;ADDOHA ABIDJA;ADDOHA ABIDJA;FLORIDA BLOC 39;Abidjan;Abidjan;;Côte d'Ivoire;;;;Residential;;VISITE;MOYEN;;;460000;MED;;30/07/2026;
Hassan;MADHLOUM IMMO;MADHLOUM IMMO;GROUPEMENT D HABITATION MS R+6 ZENATA;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Residential;;VISITE;FAIBLE;;;400000;LOW;Passage programmé la semaine prochaine por avoir le chef projet;19/08/2026;
Hassan;CMS;CMS;BORJ ATTIJARI;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Institutional;;VISITE;FAIBLE;;;400000;LOW;Premier RDV effectué en attente de disponibilité du Directeur chantiers;19/08/2026;
Ibtissam;AFFINITY;AFFINITY;40 STUDIO;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Residential;;CHIFFRAGE;IMPORTANT;;;400000;HIGH;ATTENTE AVANCE LANCEMET MAI;18/06/2026;
Ibtissam;YAM LIVING;YAM LIVING;30 APPARTEMENT;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Residential;;VISITE;FAIBLE;;;400000;LOW;ATTENTE PLAN ARCHI POUR ETUDE;17/08/2026;
Oussama;ADDOHA ABIDJA;ADDOHA ABIDJA;FLORIDA 47+ DUPLEXES;Abidjan;Abidjan;;Côte d'Ivoire;;;;Residential;;VISITE;MOYEN;;;400000;MED;;30/07/2026;
Oussama;ADDOHA ABIDJA;ADDOHA ABIDJA;FLORIDA BLOC 20;Abidjan;Abidjan;;Côte d'Ivoire;;;;Residential;;VISITE;MOYEN;;;363440;MED;;30/07/2026;
Ibtissam;IMMO PALMIER;IMMO PALMIER;22 APPARTEEMNT;Marrakech;Marrakech;Marrakech-Safi;Maroc;;;;Residential;;CHIFFRAGE;IMPORTANT;;;300000;HIGH;AVANCE RECUE (120K) - REPERAGE FIN AVRIL - ENCAISSEMENT JUIN;04/05/2026;
Oussama;ADDOHA ABIDJA;ADDOHA ABIDJA;FLORIDA BLOC 14;Abidjan;Abidjan;;Côte d'Ivoire;;;;Residential;;VISITE;MOYEN;;;254408;MED;;30/07/2026;
Oussama;DOLIDOL;DOLIDOL;INTERNAT;CASABLANCA;CASABLANCA;Casablanca-Settat;Maroc;;;;Residential;;CHIFFRAGE;MOYEN;;;8700000;MED;DEVIS TRANSMIS LE 18/05;;
Oussama;ADDOHA ABIDJA;ADDOHA ABIDJA;LAGOONA GH 05;Abidjan;Abidjan;;Côte d'Ivoire;;;;Residential;;OFFRE;IMPORTANT;;;225000;HIGH;;30/07/2026;
Oussama;ADDOHA ABIDJA;ADDOHA ABIDJA;FLORIDA BLOC 10;Abidjan;Abidjan;;Côte d'Ivoire;;;;Residential;;VISITE;MOYEN;;;181720;MED;;30/07/2026;
Hassan;CHARP CONSTRUCTION;CHARP CONSTRUCTION;IMM R+2;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Residential;;CHIFFRAGE;MOYEN;;;84040;MED;En attente de la cofirmation des finitions/ reperage en cours;19/08/2026;
Ibtissam;MR SLAOUI;MR SLAOUI;PLATEAU BUREAU;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Commercial;;VISITE;FAIBLE;;;78000;LOW;A RELANCER;17/08/2026;
Ibtissam;MR LAHLOU;MR LAHLOU;1 CUISINE;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Residential;;VISITE;FAIBLE;;;50000;LOW;PAS DE RETOUR SERVICE ETUDE MALGRE PLSR RELANCE;17/08/2026;
Ibtissam;MR BADR;MR BADR;VILLA PORTE PLACARD;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Residential;;VISITE;FAIBLE;;;50000;LOW;EN COURS DE CHIFFRAGE;17/08/2026;
Ibtissam;MR NOURDENIN;MR NOURDENIN;1 CUISINE;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Residential;;VISITE;FAIBLE;;;50000;LOW;PLAN 3D EN COURS A TRANSMETTRE AU CLIENT;17/08/2026;
Amine;RHNIMA TRAVAUX;RHNIMA TRAVAUX;CRECHE/ CENTRE;ZENATA;ZENATA;Casablanca-Settat;Maroc;;;;Institutional;;CHIFFRAGE;MOYEN;;;400000;LOW;CONSILTATION CHEZ METHODE,RDV AVEC LE CLIENT LE LUNDI 6 AVRIL AU BUREAU POUR COMMANDE;01/09/2026;
Amine;MRK;MRK;MRK;MARRAKECH;MARRAKECH;Marrakech-Safi;Maroc;;;;Residential;;CHIFFRAGE;MOYEN;;;3000000;LOW;CONSULTATION CHEZ METHODE;01/09/2026;
Amine;GOLDEN PARK BUILDING;GOLDEN PARK BUILDING;GARDEN SAPHIT;DAR BOZAZ;DAR BOZAZ;Casablanca-Settat;Maroc;;;;Residential;;VISITE;MOYEN;;;10000000;LOW;PROJET EN DEMARRAGE DE GROUPE SAKANI IMMOBILIER ,GROS UVRE AVEC UNITED CONSTRUCTION;01/09/2026;
Amine;MM NAIMA HAJJI;MM NAIMA HAJJI;YEECOR;MARRAKECH;MARRAKECH;Marrakech-Safi;Maroc;;;;Residential;;VISITE;MOYEN;;;5000000;LOW;PROJET DE RESIDENCE ET HOTEL 4 ETOILE , PREND CONTACT AVEC RESPONSABLE PROJET;01/09/2026;
Amine;MADLHOUM IMMO;MADLHOUM IMMO;ZONE INDUSTRIEL BERNOUSSI;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Residential;;VISITE;MOYEN;;;4000000;LOW;PROJET EN GO , PREMIER CONTACT AVEC LE RESPONSABLE PROJET , RDV AVEC MO A CONFIRMER;01/09/2026;
