Commercial;Client;Projet;Segment;Ville;Région;Pays;Potentiel (MAD);Probabilité;Pondéré (auto);Commentaire terrain;Statut;Prochaine Action;Date Action;Priorité (auto);? Alerte (auto);Date Closing Est.;Bucket Temporel (auto);Risque;Dernière MAJ;Score Priorité (auto);? Alertes V2 (renforcées);
Bruno;YAMED;CURIO;Residential;CASABLANCA;Casablanca-Settat;Maroc;9 800 000;80%;7 840 000;;En cours;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;30/06/2026;Dépassé;;;31;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Bruno;JULIA;MRK 350 APPART BOIS;Residential;MARRAKECH;Marrakech-Safi;Maroc;7 000 000;10%;700 000;;En cours;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;01/09/2026;Dépassé;;;1;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;JULIA;MRK 350 APPART CUISINE;Residential;MARRAKECH;Marrakech-Safi;Maroc;7 000 000;10%;700 000;;En cours;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;01/09/2026;Dépassé;;;1;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;Fondation cheikh zayd;UNIVERSITE/HEBERGEMENT;Institutional;Bouznika;Casablanca-Settat;Maroc;11 500 000;50%;5 750 000;Offre de prix envoyer aujourd'hui le samedi , un reunion a confirmer jeudi prochain pour presenter l'offre en presence directeur de projet .;En cours;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;20/05/2026;Dépassé;;;22;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;TGCC;ANP;Commercial;CASABLANCA;Casablanca-Settat;Maroc;7 200 000;100%;7 200 000;;Gagné;;;HIGH;;01/09/2026;Dépassé;;;41;;
Bruno;VALORIS;SKY TOWER;Commercial;CASABLANCA;Casablanca-Settat;Maroc;5 500 000;50%;2 750 000;;En cours;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/06/2026;Dépassé;;;16;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;BANKAI;TARGA PRESTIGE 300 APPT;Residential;MARRAKECH;Marrakech-Safi;Maroc;5 340 000;80%;4 272 000;;Prospection;;;HIGH;? STATUT/PROB INCOHÉRENT ? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;01/09/2026;Dépassé;;;31;? STATUT/PROB INCOHÉRENT ? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Bruno;FERMAPREFA;THE VIEW;Residential;MARRAKECH;Marrakech-Safi;Maroc;5 150 981;50%;2 575 491;;En cours;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;01/09/2026;Dépassé;;;16;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;GROUPE BENNANI INVEST;HOTEL CASA PORT;Hospitality;Casablanca;Casablanca-Settat;Maroc;4 000 000;80%;3 200 000;LA MIS A JOUR DEVIS RECU LE VENDREDI , CLIENT HORS MAROC , RDV A CONFIRMER DANS LA SEMAINE PROCHAINE POUR PRESENTER L'OFFRE ET LANCER LE TEMON;Négociation;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;30/05/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Amine;GROUPE BENNANI INVEST;ZENATA BAY;Residential;Zenata;Casablanca-Settat;Maroc;7 450 000;100%;7 450 000;;Gagné;;;HIGH;;30/05/2026;Dépassé;;;41;;
