Commercial;Client;Projet;Segment;Ville;Région;Pays;Potentiel (MAD);Probabilité;Pondéré (auto);Commentaire terrain;Statut;Prochaine Action;Date Action;Priorité (auto);? Alerte (auto);Date Closing Est.;Bucket Temporel (auto);Risque;Dernière MAJ;Score Priorité (auto);? Alertes V2 (renforcées);
Amine;ANMG;HOTEL ABRAJ 5* TANGER;Hospitality;Tanger;Tanger-Tétouan-Al Hoceïma;Maroc;3 000 000;10%;300 000;Deuxiéme reunion tenu avec le directeur tehnique Mr Yassine en presence le Gerant , projet en GO les lots sencondes les appels d'offre dans deux mois;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;AFIFA IMMONILIER;ODESSY MARINE;Residential;Casablanca;Casablanca-Settat;Maroc;3 000 000;10%;300 000;PRIS DE CONTACT AVEC LE GERANT , CONSULTATION LOT MENUISERI DANS 2 MOIS;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;ADDOHA;PRESTIGIA PLAGE NATION;Residential;Bouknadel;Rabat-Salé-Kénitra;Maroc;3 000 000;10%;300 000;PREMIER TRANCHE ATTRIBUER A OPTIMACO , PREMIER CONTACT AVEC MR ABDELMOULA LE GERANT POUR CONFIRMER UNE REUNION SEMAINE PROCHAINE;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;URBAT;ALMA;Residential;Tanger;Tanger-Tétouan-Al Hoceïma;Maroc;2 000 000;10%;200 000;PROJET EN GROS UVRE AVEC TG BAT , PREMIER REUNION TENU AVEC Mr Ksikes directeur projet MO , presentation de notre gamme dans l'attente de la consultation;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;AHFAD IMMOBILIER;AHFAD CITY;Residential;Casablanca;Casablanca-Settat;Maroc;1 500 000;10%;150 000;REUNION TENU AVEC MME HASSANIA AHFAD FILLE DE PATRON ET RESPONSABLE ACHAT ET SOUS TRAITANT , OFFRE EN COURS , PROEJT EN GO;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;IDEOLOGE PROMOTION;CASERNE BOUKRAA;Institutional;Casablanca;Casablanca-Settat;Maroc;900 000;10%;90 000;OFFRE DE PRIX ENVOYER , CLIENT ATTEND LA RESULTAT DE L'APPEL D'OFFRE;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;TGCC;STADE H2;Commercial;RABAT;Rabat-Salé-Kénitra;Maroc;2 000 000;10%;200 000;;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;01/09/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Hassan;HOME EST;GROUPEMENT D HABITATION ECONOMIQUE;Residential;Casablanca;Casablanca-Settat;Maroc;2 000 000;10%;200 000;RDV prévu avec le service achat la semaine prochaine (Naima);Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;19/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Hassan;SOCIETE RESIDENCES BOLORIA;GROUPEMENT D HABITATION ECONOMIQUE (hadaik al amane);Residential;Casablanca;Casablanca-Settat;Maroc;2 000 000;10%;200 000;RDV prévu avec le chef projet la semaine prochaine;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;19/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Hassan;SIREGEC;COMPLEXE UNIVERSITAIRE SUPTECH;Institutional;Mohammedia;Casablanca-Settat;Maroc;2 000 000;10%;200 000;Potentiel à renseigner;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;19/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Oussama;ADDOHA ABIDJA;ANGRE SQUARE;Residential;Abidjan;;Côte d'Ivoire;2 000 000;80%;1 600 000;;Négociation;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;30/05/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Bruno;AGADIR BAY;RESIDENTIEL Q 67;Residential;AGADIR;Souss-Massa;Maroc;1 967 000;80%;1 573 600;;En cours;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;30/04/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Taoufik;RAFINITI;TEMARA;Residential;Rabat;Rabat-Salé-Kénitra;Maroc;1 900 000;80%;1 520 000;CLIENT FINALISE LE CCTP POUR LANCER LA CONSULTATION;Prospection;;;HIGH;? STATUT/PROB INCOHÉRENT ? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;18/06/2026;Dépassé;;;27;? STATUT/PROB INCOHÉRENT ? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Amine;AAFER;BORJ AL ANDALOUS;Residential;Tanger;Tanger-Tétouan-Al Hoceïma;Maroc;2 000 000;10%;200 000;Deuxiéme reunion tenu avec le gerant , client va nous consulter , demande des reference dans la région et des temoin sur des projet réaliser dernierement;En cours;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/09/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;TGCC;SAFRAN ZONE FRANCHE MIDPARC;Industrial & Logistics;TANGER;Tanger-Tétouan-Al Hoceïma;Maroc;1 540 700;50%;770 350;;En cours;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;01/09/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;CGTC;OMRAN MEDIOUNA;Residential;Mediouna;Casablanca-Settat;Maroc;1 000 000;10%;100 000;CONSULTATION CHEZ LE BUREAU D'ETUDE;En cours;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/09/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;CGTC;LYCEE AL MANSOUR ZENATA;Residential;Zenata;Casablanca-Settat;Maroc;500 000;10%;50 000;CONSULTATION CHEZ LE BUREAU D'ETUDE;En cours;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/09/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;DINO;CHP GUERCIVE;Institutional;Guercif;Oriental;Maroc;3 000 000;10%;300 000;CONSULTATION CHEZ METHODE , LE GERANT ATTEND NOTRE OFFRE DE PRIX (CONTACT GERANT);En cours;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/09/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;TGCC;ECOLE FRANCAISE BENGUERIR;Commercial;MARRAKECH;Marrakech-Safi;Maroc;1 476 065;50%;738 033;;En cours;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;01/09/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;TGCC;TERRAIN ANZA AGADIR;Industrial & Logistics;AGADIR;Souss-Massa;Maroc;1 463 814;50%;731 907;;En cours;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;01/09/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Oussama;AL MADA/ ATLAS HOSPITALITY / CMS;MIXED USE CASABLANCA;Hospitality;Casablanca;Casablanca-Settat;Maroc;1 320 000;50%;660 000;CHIFFRAGE ET ETUDE EN COURS;En cours;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/05/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Taoufik;AMENAGEMENT BOIS;CASA MOHIT;Residential;Casablanca;Casablanca-Settat;Maroc;1 300 000;100%;1 300 000;;Gagné;;;HIGH;;04/05/2026;Dépassé;;;37;;
Bruno;URBAN CAPITAL / ABDELAS;AUDA ANFA;Residential;Casablanca;Casablanca-Settat;Maroc;6 043 000;50%;3 021 500;;En cours;;;;;01/12/2026;;;;;;
Bruno;GROUPE AHOCIENIA;VILLA BIANCA CUISINE;Residential;RABAT;Rabat-Salé-Kénitra;Maroc;1 118 000;80%;894 400;;En cours;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;01/09/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Amine;LA MANOUSSE;COMPLEXE RESIDENTIEL;Residential;Rabat;Rabat-Salé-Kénitra;Maroc;3 000 000;10%;300 000;OFFRE DE PRIX COMMUNIQUER DES PORTE , ATTEND PLAN POUR PLACARD ET CUISINE LOTS MENUISERI DANS 6 MOIS SELON LE CLIENT;En cours;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/09/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;DINO;GARE ROUTIERE KENITRA;Institutional;Kénitra;Rabat-Salé-Kénitra;Maroc;2 000 000;10%;200 000;LE CLIENT FINALISE LE CCTP POUR LANCER LES CONSULTATION , PROJET EN DEMMARAGE (CONTACT GERANT);Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/09/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;MFADEL;SOHAUS VILLAS VILLA LOT CUSIINE;Residential;CASABLANCA;Casablanca-Settat;Maroc;1 000 000;50%;500 000;;En cours;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/04/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Taoufik;4 G BATIMO;TANGER ABRAJE;Residential;Tanger;Tanger-Tétouan-Al Hoceïma;Maroc;1 000 000;10%;100 000;CLIENT FINALISE LE CCTP POUR LANCER LA CONSULTATION;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;DINO;CHP AZILAL;Institutional;Azilal;Béni Mellal-Khénifra;Maroc;2 000 000;10%;200 000;CONSULTATION CHEZ METHODE , LE GERANT ATTEND NOTRE OFFRE DE PRIX (CONTACT GERANT);En cours;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/10/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Taoufik;INBS PROMO;MARRAKECH EDNE HOME;Residential;Marrakech;Marrakech-Safi;Maroc;900 000;80%;720 000;le temoin et déjà pose le BC pour le mois MAI;En cours;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;15/05/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Taoufik;BECHARAT KHAIRE;MARRAKECH WISAL;Residential;Marrakech;Marrakech-Safi;Maroc;800 000;80%;640 000;MOIS MAI;En cours;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;18/06/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Taoufik;UNITED CASA;CASA ANWAL;Residential;Casablanca;Casablanca-Settat;Maroc;800 000;50%;400 000;visites projet semaine prochaine;En cours;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;18/06/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;GROUPE AHOCIENIA;BLOC 5 EXPORT;Residential;SENEGAL;;Sénégal;796 576;80%;637 261;;En cours;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;30/04/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Taoufik;H2K immobilIER;MARRAKECH ICHRAK;Residential;Marrakech;Marrakech-Safi;Maroc;780 000;50%;390 000;CLIENT FINALISE LE CCTP POUR LANCER LA CONSULTATION;Prospection;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;18/06/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Oussama;ADDOHA ABIDJA;GREEN CITY GH 22;Residential;Abidjan;;Côte d'Ivoire;600 000;50%;300 000;;Prospection;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/07/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Oussama;ADDOHA ABIDJA;GREEN CITY GH 25;Residential;Abidjan;;Côte d'Ivoire;600 000;50%;300 000;;Prospection;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/07/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;GROUPE AHOCIENIA;VILLA SALAM;Residential;SENEGAL;;Sénégal;584 122;80%;467 298;;En cours;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;30/04/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Amine;IHCC;HOPITAL SAUDI ALMANI;Institutional;Casablanca;Casablanca-Settat;Maroc;2 000 000;10%;200 000;MARCHE DÉJÀ ATTRIBUER , LE CLIENT VA ORIENTE LES POSEUR CHEZ NOUS ,TRANCHE HOTEL ET UNIVERSITE SERA LANCER DANS 4 MOIS(CONTACT RESPONSABEL ACHAT);Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/10/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Oussama;ADDOHA ABIDJA;FLORIDA BLOC 39;Residential;Abidjan;;Côte d'Ivoire;460 000;50%;230 000;;Prospection;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/07/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Hassan;MADHLOUM IMMO;GROUPEMENT D HABITATION MS R+6 ZENATA;Residential;Casablanca;Casablanca-Settat;Maroc;400 000;10%;40 000;Passage programmé la semaine prochaine por avoir le chef projet;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;19/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Hassan;CMS;BORJ ATTIJARI;Institutional;Casablanca;Casablanca-Settat;Maroc;400 000;10%;40 000;Premier RDV effectué en attente de disponibilité du Directeur chantiers;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;19/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Ibtissam;AFFINITY;40 STUDIO;Residential;Casablanca;Casablanca-Settat;Maroc;400 000;80%;320 000;ATTENTE AVANCE LANCEMET MAI;En cours;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;18/06/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Ibtissam;YAM LIVING;30 APPARTEMENT;Residential;Casablanca;Casablanca-Settat;Maroc;400 000;10%;40 000;ATTENTE PLAN ARCHI POUR ETUDE;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Oussama;ADDOHA GABON;;Residential;LIBREVILLE;;GABON;110 000;100%;110 000;;Gagné;;;;;;;;;;;
Oussama;ADDOHA ABIDJA;FLORIDA 47+ DUPLEXES;Residential;Abidjan;;Côte d'Ivoire;400 000;50%;200 000;;Prospection;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/07/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Oussama;ADDOHA ABIDJA;FLORIDA BLOC 20;Residential;Abidjan;;Côte d'Ivoire;363 440;50%;181 720;;Prospection;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/07/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Ibtissam;IMMO PALMIER;22 APPARTEEMNT;Residential;Marrakech;Marrakech-Safi;Maroc;300 000;80%;240 000;AVANCE RECUE (120K) - REPERAGE FIN AVRIL - ENCAISSEMENT JUIN;En cours;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;04/05/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Oussama;ADDOHA ABIDJA;FLORIDA BLOC 14;Residential;Abidjan;;Côte d'Ivoire;254 408;50%;127 204;;Prospection;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/07/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Oussama;DOLIDOL;INTERNAT;Residential;CASABLANCA;Casablanca-Settat;Maroc;8 700 000;50%;4 350 000;DEVIS TRANSMIS LE 18/05;En cours;;;;;;;;;;;
Oussama;ADDOHA ABIDJA;LAGOONA GH 05;Residential;Abidjan;;Côte d'Ivoire;225 000;80%;180 000;;Négociation;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;30/07/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Oussama;ADDOHA ABIDJA;FLORIDA BLOC 10;Residential;Abidjan;;Côte d'Ivoire;181 720;50%;90 860;;Prospection;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/07/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Hassan;CHARP CONSTRUCTION;IMM R+2;Residential;Casablanca;Casablanca-Settat;Maroc;84 040;50%;42 020;En attente de la cofirmation des finitions/ reperage en cours;En cours;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;19/08/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Ibtissam;MR SLAOUI;PLATEAU BUREAU;Commercial;Casablanca;Casablanca-Settat;Maroc;78 000;10%;7 800;A RELANCER;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Ibtissam;MR LAHLOU;1 CUISINE;Residential;Casablanca;Casablanca-Settat;Maroc;50 000;10%;5 000;PAS DE RETOUR SERVICE ETUDE MALGRE PLSR RELANCE;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Ibtissam;MR BADR;VILLA PORTE PLACARD;Residential;Casablanca;Casablanca-Settat;Maroc;50 000;10%;5 000;EN COURS DE CHIFFRAGE;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Ibtissam;MR NOURDENIN;1 CUISINE;Residential;Casablanca;Casablanca-Settat;Maroc;50 000;10%;5 000;PLAN 3D EN COURS A TRANSMETTRE AU CLIENT;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;RHNIMA TRAVAUX;CRECHE/ CENTRE;Institutional;ZENATA;Casablanca-Settat;Maroc;400 000;10%;40 000;CONSILTATION CHEZ METHODE,RDV AVEC LE CLIENT LE LUNDI 6 AVRIL AU BUREAU POUR COMMANDE;En cours;;;;;01/09/2026;C;;;;;
Amine;MRK;MRK;Residential;MARRAKECH;Marrakech-Safi;Maroc;3 000 000;10%;300 000;CONSULTATION CHEZ METHODE;En cours;;;;;01/09/2026;C;;;;;
Amine;GOLDEN PARK BUILDING;GARDEN SAPHIT;Residential;DAR BOZAZ;Casablanca-Settat;Maroc;10 000 000;10%;1 000 000;PROJET EN DEMARRAGE DE GROUPE SAKANI IMMOBILIER ,GROS UVRE AVEC UNITED CONSTRUCTION;Prospection;;;;;01/09/2026;C;;;;;
Amine;MM NAIMA HAJJI;YEECOR;Residential;MARRAKECH;Marrakech-Safi;Maroc;5 000 000;10%;500 000;PROJET DE RESIDENCE ET HOTEL 4 ETOILE , PREND CONTACT AVEC RESPONSABLE PROJET;Prospection;;;;;01/09/2026;C;;;;;
Amine;MADLHOUM IMMO;ZONE INDUSTRIEL BERNOUSSI;Residential;Casablanca;Casablanca-Settat;Maroc;4 000 000;10%;400 000;PROJET EN GO , PREMIER CONTACT AVEC LE RESPONSABLE PROJET , RDV AVEC MO A CONFIRMER;Prospection;;;;;01/09/2026;C;;;;;
